shape,condition,run_number,success,iterations,execution_time,errors,stl_file,code_file,timestamp
box,baseline,1,True,1,13.31498098373413,[],box_baseline_run1.stl,box_baseline_run1.py,2025-04-30T20:10:39.259753
box,baseline,2,True,1,13.60980224609375,[],box_baseline_run2.stl,box_baseline_run2.py,2025-04-30T20:10:52.906930
box,baseline,3,True,1,17.148115634918213,[],box_baseline_run3.stl,box_baseline_run3.py,2025-04-30T20:11:10.057703
box,baseline,4,True,1,19.82036066055298,[],box_baseline_run4.stl,box_baseline_run4.py,2025-04-30T20:11:29.881213
box,baseline,5,True,1,17.953185558319092,[],box_baseline_run5.stl,box_baseline_run5.py,2025-04-30T20:11:47.836996
box,baseline,6,True,1,24.421297550201416,[],box_baseline_run6.stl,box_baseline_run6.py,2025-04-30T20:12:12.260935
box,baseline,7,True,1,16.3853497505188,[],box_baseline_run7.stl,box_baseline_run7.py,2025-04-30T20:12:28.649044
box,baseline,8,True,1,18.383795499801636,[],box_baseline_run8.stl,box_baseline_run8.py,2025-04-30T20:12:47.038783
box,baseline,9,True,1,16.343857049942017,[],box_baseline_run9.stl,box_baseline_run9.py,2025-04-30T20:13:03.385298
box,baseline,10,True,1,20.371618032455444,[],box_baseline_run10.stl,box_baseline_run10.py,2025-04-30T20:13:23.759777
box,rag_only,1,True,1,19.83157515525818,[],box_rag_only_run1.stl,box_rag_only_run1.py,2025-04-30T20:13:43.597194
box,rag_only,2,True,1,25.809394121170044,[],box_rag_only_run2.stl,box_rag_only_run2.py,2025-04-30T20:14:09.409835
box,rag_only,3,True,1,16.54407238960266,[],box_rag_only_run3.stl,box_rag_only_run3.py,2025-04-30T20:14:25.956510
box,rag_only,4,True,2,45.201072216033936,"['Iteration 1: File ""C:\\Users\\pelum\\AppData\\Local\\Temp\\tmp78qn5pii.py"", line 26\n    hollow_mesh = mesh.Mesh(np.zeros(faces.shape[0], dtype=mesh.Mesh.dtype)\n                           ^\nSyntaxError: \'(\' was never closed']",box_rag_only_run4.stl,box_rag_only_run4.py,2025-04-30T20:15:11.161558
